mineral,technology,scenario,year,demand_kt
Electric vehicles - Mining,Grid battery storage,STEPS,2030,215.272
Electric vehicles - Mining,Grid battery storage,STEPS,2035,294.863
Electric vehicles - Mining,Grid battery storage,STEPS,2040,448.958
Electric vehicles - Mining,Grid battery storage,STEPS,2045,506.555
Electric vehicles - Mining,Grid battery storage,STEPS,2050,632.442
Electric vehicles - Mining,Grid battery storage,NZE,2030,243.814
Electric vehicles - Mining,Grid battery storage,NZE,2035,365.517
Electric vehicles - Mining,Grid battery storage,NZE,2040,566.706
Electric vehicles - Mining,Grid battery storage,NZE,2045,645.494
Electric vehicles - Mining,Grid battery storage,NZE,2050,806.077
Electric vehicles - Mining,Grid battery storage,NZE,2030,294.933
Electric vehicles - Mining,Grid battery storage,NZE,2035,495.401
Electric vehicles - Mining,Grid battery storage,NZE,2040,697.738
Electric vehicles - Mining,Grid battery storage,NZE,2045,843.286
Electric vehicles - Mining,Grid battery storage,NZE,2050,970.812
Electric vehicles - Mining,Electricity networks,STEPS,2024,4928.986077070502
Electric vehicles - Mining,Electricity networks,STEPS,2030,5824.522549313585
Electric vehicles - Mining,Electricity networks,STEPS,2035,5686.398200691095
Electric vehicles - Mining,Electricity networks,STEPS,2040,5744.7700706638025
Electric vehicles - Mining,Electricity networks,STEPS,2045,5755.84429724005
Electric vehicles - Mining,Electricity networks,STEPS,2050,5641.229816066083
Electric vehicles - Mining,Electricity networks,NZE,2030,6543.377406913395
Electric vehicles - Mining,Electricity networks,NZE,2035,7266.378719599726
Electric vehicles - Mining,Electricity networks,NZE,2040,8073.418186515176
Electric vehicles - Mining,Electricity networks,NZE,2045,7970.385178745631
Electric vehicles - Mining,Electricity networks,NZE,2050,7479.409874532816
Electric vehicles - Mining,Electricity networks,NZE,2030,7723.313860377344
Electric vehicles - Mining,Electricity networks,NZE,2035,9342.37942743772
Electric vehicles - Mining,Electricity networks,NZE,2040,9972.014306673129
Electric vehicles - Mining,Electricity networks,NZE,2045,9567.85897627672
Electric vehicles - Mining,Electricity networks,NZE,2050,8852.873421438964
Electric vehicles - Mining,Hydrogen technologies,STEPS,2024,0.0032992
Electric vehicles - Mining,Hydrogen technologies,STEPS,2030,0.0119271
Electric vehicles - Mining,Hydrogen technologies,STEPS,2035,0.0131684
Electric vehicles - Mining,Hydrogen technologies,STEPS,2040,0.0104
Electric vehicles - Mining,Hydrogen technologies,STEPS,2045,0.0100055
Electric vehicles - Mining,Hydrogen technologies,STEPS,2050,0.0136965
Electric vehicles - Mining,Hydrogen technologies,NZE,2030,0.0830042
Electric vehicles - Mining,Hydrogen technologies,NZE,2035,0.0819903
Electric vehicles - Mining,Hydrogen technologies,NZE,2040,0.082371
Electric vehicles - Mining,Hydrogen technologies,NZE,2045,0.115454
Electric vehicles - Mining,Hydrogen technologies,NZE,2050,0.163263
Electric vehicles - Mining,Hydrogen technologies,NZE,2030,0.187135
Electric vehicles - Mining,Hydrogen technologies,NZE,2035,0.203227
Electric vehicles - Mining,Hydrogen technologies,NZE,2040,0.173466
Electric vehicles - Mining,Hydrogen technologies,NZE,2045,0.148932
Electric vehicles - Mining,Hydrogen technologies,NZE,2050,0.19252
Electric vehicles - Mining,Hydrogen technologies,STEPS,2024,7737.022798473832
Electric vehicles - Mining,Hydrogen technologies,STEPS,2030,10909.949595041064
Electric vehicles - Mining,Hydrogen technologies,STEPS,2035,11539.621729070524
Electric vehicles - Mining,Hydrogen technologies,STEPS,2040,12162.357367023098
Electric vehicles - Mining,Hydrogen technologies,STEPS,2045,12461.739384097007
Electric vehicles - Mining,Hydrogen technologies,STEPS,2050,13041.83676358418
Electric vehicles - Mining,Hydrogen technologies,NZE,2030,12577.797080015753
Electric vehicles - Mining,Hydrogen technologies,NZE,2035,14579.46234286481
Electric vehicles - Mining,Hydrogen technologies,NZE,2040,16351.629862104935
Electric vehicles - Mining,Hydrogen technologies,NZE,2045,16623.910225361866
Electric vehicles - Mining,Hydrogen technologies,NZE,2050,17176.365172063037
Electric vehicles - Mining,Hydrogen technologies,NZE,2030,15165.6671586128
Electric vehicles - Mining,Hydrogen technologies,NZE,2035,19420.127234147385
Electric vehicles - Mining,Hydrogen technologies,NZE,2040,19845.60471172003
Electric vehicles - Mining,Hydrogen technologies,NZE,2045,19406.82093708451
Electric vehicles - Mining,Hydrogen technologies,NZE,2050,19678.60209560339
Low emissions power generation - Mining,Hydrogen technologies,STEPS,2024,0.0151976
Low emissions power generation - Mining,Hydrogen technologies,STEPS,2030,0.025922
Low emissions power generation - Mining,Hydrogen technologies,STEPS,2035,0.0123183
Low emissions power generation - Mining,Hydrogen technologies,STEPS,2040,0.0156733
Low emissions power generation - Mining,Hydrogen technologies,STEPS,2045,0.0167405
Low emissions power generation - Mining,Hydrogen technologies,STEPS,2050,0.0200919
Low emissions power generation - Mining,Hydrogen technologies,NZE,2030,0.0352111
Low emissions power generation - Mining,Hydrogen technologies,NZE,2035,0.03234
Low emissions power generation - Mining,Hydrogen technologies,NZE,2040,0.0278459
Low emissions power generation - Mining,Hydrogen technologies,NZE,2045,0.0246264
Low emissions power generation - Mining,Hydrogen technologies,NZE,2050,0.026114
Low emissions power generation - Mining,Hydrogen technologies,NZE,2030,0.0455717
Low emissions power generation - Mining,Hydrogen technologies,NZE,2035,0.0501194
Low emissions power generation - Mining,Hydrogen technologies,NZE,2040,0.0381249
Low emissions power generation - Mining,Hydrogen technologies,NZE,2045,0.02567
Low emissions power generation - Mining,Hydrogen technologies,NZE,2050,0.0254272
Electric vehicles - Mining,Hydrogen technologies,STEPS,2024,66.5071
Electric vehicles - Mining,Hydrogen technologies,STEPS,2030,143.148
Electric vehicles - Mining,Hydrogen technologies,STEPS,2035,142.719
Electric vehicles - Mining,Hydrogen technologies,STEPS,2040,135.811
Electric vehicles - Mining,Hydrogen technologies,STEPS,2045,160.11
Electric vehicles - Mining,Hydrogen technologies,STEPS,2050,172.338
Electric vehicles - Mining,Hydrogen technologies,NZE,2030,161.801
Electric vehicles - Mining,Hydrogen technologies,NZE,2035,176.479
Electric vehicles - Mining,Hydrogen technologies,NZE,2040,183.626
Electric vehicles - Mining,Hydrogen technologies,NZE,2045,220.356
Electric vehicles - Mining,Hydrogen technologies,NZE,2050,239.83
Electric vehicles - Mining,Hydrogen technologies,NZE,2030,236.358
Electric vehicles - Mining,Hydrogen technologies,NZE,2035,267.534
Electric vehicles - Mining,Hydrogen technologies,NZE,2040,247.614
Electric vehicles - Mining,Hydrogen technologies,NZE,2045,282.66
Electric vehicles - Mining,Hydrogen technologies,NZE,2050,291.668
Electric vehicles - Mining,Grid battery storage,STEPS,2024,4.06092
Electric vehicles - Mining,Grid battery storage,STEPS,2030,5.0643
